index;shoot;identifier;total time
422;1;08-00-033;9.318718671798706
423;1;08-00-034;8.624003648757935
424;1;08-00-035;9.206987857818604
425;1;08-00-036;10.840633869171143
426;1;08-00-037;10.283483028411865
427;1;08-00-038;9.240281343460083
428;1;08-00-039;9.86175274848938
429;1;08-00-040;12.116459608078003
430;1;08-00-041;11.122116327285767
431;1;08-00-042;11.801612138748169
432;1;08-00-043;10.546500444412231
433;1;08-00-045;28.99258303642273
434;1;08-00-047;445.7000663280487
435;1;09-00-022;5.548264980316162
436;1;09-00-026;11.301383972167969
437;1;09-00-021;11.564529418945312
438;1;09-00-027;10.325698614120483
439;1;09-00-020;11.917663335800171
440;1;09-00-028;10.863890647888184
441;1;09-00-019;11.437313079833984
442;1;09-00-029;12.535792827606201
443;2;09-00-018;22.315447568893433
444;1;09-00-030;318.018803358078
445;1;09-00-017;3.037323474884033
446;1;09-00-031;0.8940505981445312
447;1;09-00-016;2.2417616844177246
448;1;09-00-032;0.5116384029388428
449;1;09-00-015;0.9904441833496094
450;1;09-00-033;0.42273449897766113
451;1;09-00-014;2.128053903579712
452;1;09-00-034;2.225952625274658
453;1;09-00-013;1.750356912612915
454;1;09-00-035;0.513033390045166
455;1;09-00-012;0.4415280818939209
456;1;09-00-036;2.4272921085357666
457;1;08-00-017;1.0327985286712646
458;1;08-00-018;9.987645387649536
459;1;08-00-019;3.3766002655029297
460;1;08-00-020;0.713153600692749
461;1;08-00-021;0.787156343460083
462;1;08-00-022;4.260451078414917
463;1;08-00-023;0.41277599334716797
464;1;08-00-025;0.4013793468475342
465;1;08-00-026;2.201538324356079
466;1;08-00-027;0.5449733734130859
467;1;08-00-028;0.44790124893188477
468;1;08-00-029;0.5261259078979492
469;1;08-00-030;0.43137168884277344
470;1;08-00-031;0.5706274509429932
471;1;08-00-032;0.4004979133605957
472;1;08-00-033;0.4268350601196289
473;1;08-00-034;0.3644068241119385
474;1;08-00-035;0.4681575298309326
475;1;08-00-036;0.3830881118774414
476;1;08-00-037;0.42083096504211426
477;1;08-00-038;0.3786146640777588
478;1;08-00-039;0.4399595260620117
479;1;08-00-040;0.48503708839416504
480;1;08-00-041;0.5098273754119873
481;1;08-00-042;0.5153467655181885
482;1;08-00-043;0.6797127723693848
483;1;08-00-045;0.8371002674102783
484;1;08-00-047;0.5232448577880859
485;1;09-00-022;0.47312116622924805
486;1;09-00-026;0.8922927379608154
487;1;09-00-021;1.1129024028778076
488;1;09-00-027;0.7718563079833984
489;1;09-00-020;1.065800666809082
490;1;09-00-028;0.7350559234619141
491;1;09-00-019;1.2845540046691895
492;1;09-00-029;1.7324814796447754
493;1;09-00-018;3.0684409141540527
494;1;09-00-030;6.141230344772339
495;1;09-00-017;46.246384143829346
496;2;09-00-031;16.19971251487732
497;1;09-00-016;8.326868295669556
498;1;09-00-032;7.766115427017212
499;1;09-00-015;8.129106998443604
500;1;09-00-033;7.794573068618774
501;1;09-00-014;8.179959535598755
502;1;09-00-034;9.173661947250366
503;1;09-00-013;9.004567861557007
504;1;09-00-035;8.501922130584717
505;1;09-00-012;8.418205976486206
506;1;09-00-036;8.839153051376343
507;1;08-00-017;0.41395044326782227
508;1;09-00-011;7.152557373046875e-05
509;1;09-00-037;7.099764108657837
510;1;09-00-010;6.729594469070435
511;1;09-00-09;7.353124141693115
512;1;09-00-08;6.427298307418823
513;1;09-00-07;6.439621925354004
514;1;09-00-06;6.580846548080444
515;1;09-00-04;6.519809246063232
516;1;09-00-02;6.631653547286987
517;1;09-00-038;8.963821411132812
518;1;09-00-039;7.102385759353638
519;1;09-00-040;6.85563588142395
520;1;09-00-041;7.442078590393066
521;1;09-00-042;7.8566718101501465
522;1;09-00-044;7.658668279647827
523;1;09-00-046;7.180933475494385
524;1;010-00-01;7.445873498916626
525;1;010-00-03;9.5478515625
526;1;010-00-05;23.678494691848755
527;2;010-00-06;543.1038947105408
528;1;010-00-07;18.2170672416687
529;1;010-00-08;14.341713190078735
530;1;010-00-09;12.464731931686401
531;1;010-00-010;11.161427736282349
532;1;010-00-011;12.480099201202393
533;1;010-00-012;11.079258918762207
534;1;010-00-013;11.72967267036438
535;1;010-00-014;12.276373386383057
536;1;010-00-015;14.704736232757568
537;1;010-00-016;13.754940748214722
538;1;010-00-017;14.335070133209229
